season,week,celebrity_name,predicted_fan_votes,predicted_fan_percentage
6.0,2.0,Adam Carolla,74844.57748307302,7.393351254079276
6.0,2.0,Cristian de la Fuente,78370.54860476666,7.779552059308385
6.0,2.0,Jason Taylor,103076.07067351369,10.512745582332803
6.0,2.0,Kristi Yamaguchi,102951.77795405885,10.498900440025569
6.0,2.0,Mario,99453.4030816739,10.109424357148637
6.0,2.0,Marissa Jaret Winokur,81884.8123858549,8.165585207055518
6.0,2.0,Marlee Matlin,92529.4741863878,9.34079515286994
6.0,2.0,Monica Seles,60533.57284610285,5.838920756235293
6.0,2.0,Penn Jillette,67568.33698817121,6.600138860522262
6.0,2.0,Priscilla Presley,82037.73035467518,8.182423538323555
6.0,2.0,Shannon Elizabeth,92626.27844557994,9.351528940804116
6.0,2.0,Steve Guttenberg,64123.41699614201,6.226633851294642
6.0,3.0,Adam Carolla,92767.01097691614,9.207207306099976
6.0,3.0,Cristian de la Fuente,108799.54316141794,10.962287793556234
6.0,3.0,Jason Taylor,100753.79824069717,10.079627756645515
6.0,3.0,Kristi Yamaguchi,116790.39532059789,11.842249286920403
6.0,3.0,Mario,92906.01153692213,9.22234905756122
6.0,3.0,Marissa Jaret Winokur,84997.59605440198,8.362625428786956
6.0,3.0,Marlee Matlin,92763.0092247926,9.206769422063283
6.0,3.0,Priscilla Presley,112715.54868598995,11.393139953444654
6.0,3.0,Shannon Elizabeth,104769.42544997696,10.51973510672071
6.0,3.0,Steve Guttenberg,92737.66134828719,9.204008888201045
6.0,4.0,Adam Carolla,86616.24886446253,8.453879723553426
6.0,4.0,Cristian de la Fuente,115243.04159737818,11.55766231477898
6.0,4.0,Jason Taylor,127498.40855783167,12.899264758080422
6.0,4.0,Kristi Yamaguchi,127304.194652357,12.877955016283696
6.0,4.0,Mario,107000.83755826033,10.659258374104088
6.0,4.0,Marissa Jaret Winokur,107013.4303689218,10.660634285102176
6.0,4.0,Marlee Matlin,107150.51699976817,10.675551177967721
6.0,4.0,Priscilla Presley,98901.00370842665,9.77988114747908
6.0,4.0,Shannon Elizabeth,123272.31769259361,12.435913202650411
26.0,1.0,Adam Rippon,113007.03167008063,11.424854655883355
26.0,1.0,Arike Ogunbowale,95688.43373702142,9.525548510502857
26.0,1.0,Chris Mazdzer,99964.0542798015,9.992862135180847
26.0,1.0,Jamie Anderson,91445.2054812319,9.062916317743559
26.0,1.0,Jennie Finch Daigle,99846.74450694783,9.980026969111583
26.0,1.0,Johnny Damon,86930.54325406876,8.572015982813493
26.0,1.0,Josh Norman,113057.04528713667,11.430362254546434
26.0,1.0,Kareem Abdul-Jabbar,82509.23297054929,8.092767105461368
26.0,1.0,Mirai Nagasu,108655.55966630475,10.946111106506736
26.0,1.0,Tonya Harding,108896.14914685728,10.972534962249771
26.0,2.0,Adam Rippon,137403.0870513081,13.84797687519417
26.0,2.0,Arike Ogunbowale,130334.82133925939,13.07820207807318
26.0,2.0,Chris Mazdzer,123374.69634513067,12.322049835921812
26.0,2.0,Jennie Finch Daigle,118349.24397863123,11.777331677127385
26.0,2.0,Josh Norman,118300.31519926085,11.772037180736163
26.0,2.0,Kareem Abdul-Jabbar,111452.91939923412,11.031697575459242
26.0,2.0,Mirai Nagasu,137230.5167898914,13.829160493042368
26.0,2.0,Tonya Harding,123554.39989728424,12.341544284445682
26.0,3.0,Adam Rippon,192332.4719981156,19.429457771192663
26.0,3.0,Chris Mazdzer,157245.78724539265,15.651709814166653
26.0,3.0,Jennie Finch Daigle,139295.08413727465,13.731593559971273
26.0,3.0,Josh Norman,179202.898936859,18.012470396717756
26.0,3.0,Mirai Nagasu,166074.77623561292,16.599519918895655
26.0,3.0,Tonya Harding,165848.98144674522,16.575248539056002
26.0,4.0,Adam Rippon,338885.49247717607,33.918027036931846
26.0,4.0,Josh Norman,333291.03358275344,33.328797204833606
26.0,4.0,Tonya Harding,327823.4739400705,32.75317575823454
10.0,1.0,Aiden Turner,73351.6418623672,7.168596853578217
10.0,1.0,Buzz Aldrin,68925.78330997795,6.690091278714733
10.0,1.0,Chad Ochocinco,86757.27813257262,8.628885923086857
10.0,1.0,Erin Andrews,99670.86033702186,10.048409057160207
10.0,1.0,Evan Lysacek,108328.23100409261,11.005789805962056
10.0,1.0,Jake Pavelka,95416.23288392714,9.579500611822045
10.0,1.0,Kate Gosselin,77708.78163563457,7.641510961600509
10.0,1.0,Nicole Scherzinger,117029.28745454416,11.971930191431952
10.0,1.0,Niecy Nash,86642.28612313331,8.616311077557569
10.0,1.0,Pamela Anderson,99660.6568241254,10.0472838444401
10.0,1.0,Shannen Doherty,86508.96043260323,8.601690394645752
10.0,2.0,Aiden Turner,86859.08071094358,8.635738285377707
10.0,2.0,Buzz Aldrin,57543.30497279052,5.467000414594918
10.0,2.0,Chad Ochocinco,74356.00426842486,7.273816973219629
10.0,2.0,Erin Andrews,103363.04128842849,10.451025359936022
10.0,2.0,Evan Lysacek,107471.54714721059,10.905475138596412
10.0,2.0,Jake Pavelka,90924.38276720642,9.081215833536673
10.0,2.0,Kate Gosselin,70038.84177215543,6.806812561091039
10.0,2.0,Nicole Scherzinger,123889.63266534261,12.729911333163377
10.0,2.0,Niecy Nash,95256.95527621731,9.557240236968383
10.0,2.0,Pamela Anderson,99301.7343115411,10.002749973163414
10.0,2.0,Shannen Doherty,90995.47481973906,9.089013890352422
10.0,3.0,Aiden Turner,98610.87704070176,9.83954505397646
10.0,3.0,Buzz Aldrin,66868.94275884179,6.407550287450796
10.0,3.0,Chad Ochocinco,98681.39395448797,9.847219777961913
10.0,3.0,Erin Andrews,112212.89527631036,11.331314815226047
10.0,3.0,Evan Lysacek,125707.4843958546,12.820339387305271
10.0,3.0,Jake Pavelka,103325.33787024845,10.35542873465076
10.0,3.0,Kate Gosselin,75959.58681757817,7.381691093897899
10.0,3.0,Nicole Scherzinger,112109.46903946469,11.319935109528549
10.0,3.0,Niecy Nash,103232.99940983325,10.345307046134742
10.0,3.0,Pamela Anderson,103291.01343667899,10.351668693867563
10.0,4.0,Aiden Turner,90652.52489172269,8.886041282611492
10.0,4.0,Chad Ochocinco,118018.12394652405,11.857732124945352
10.0,4.0,Erin Andrews,105745.27714596606,10.519910651192305
10.0,4.0,Evan Lysacek,137587.69164580345,14.004583810020856
10.0,4.0,Jake Pavelka,103112.27086950766,10.233902894335534
10.0,4.0,Kate Gosselin,88226.34303663165,8.624748099935255
10.0,4.0,Nicole Scherzinger,132699.817658259,13.466971668317067
10.0,4.0,Niecy Nash,98386.06493472544,9.721521021477875
10.0,4.0,Pamela Anderson,125571.88587086002,12.684588447164264
5.0,1.0,Albert Reed,81841.9188231925,8.165073616270712
5.0,1.0,Cameron Mathison,81864.91367181242,8.167604196997194
5.0,1.0,Floyd Mayweather Jr. ,71178.43796554109,6.9966346589390875
5.0,1.0,Helio Castroneves,96081.35018285486,9.739687867403616
5.0,1.0,Jane Seymour,92410.18615732188,9.332368587684764
5.0,1.0,Jennie Garth,81845.99238152751,8.165525432415338
5.0,1.0,Josie Maran,64097.228628512334,6.227045515839962
5.0,1.0,Marie Osmond,81951.03093898654,8.177069218197826
5.0,1.0,Mark Cuban,81817.2137487767,8.16235148117451
5.0,1.0,Mel B,92534.47196033309,9.34613832477278
5.0,1.0,Sabrina Bryan,99498.60848873481,10.119620745680242
5.0,1.0,Wayne Newton,74878.64705240623,7.400880354623973
5.0,2.0,Albert Reed,88400.96711400744,8.810233884313664
5.0,2.0,Cameron Mathison,88573.48494661771,8.829151337645174
5.0,2.0,Floyd Mayweather Jr. ,88491.72691388267,8.820173039029717
5.0,2.0,Helio Castroneves,111479.93888394542,11.356949324746898
5.0,2.0,Jane Seymour,88623.2880610555,8.834609445924757
5.0,2.0,Jennie Garth,88446.54291099349,8.815232657184056
5.0,2.0,Marie Osmond,100018.07633984595,10.088198277557266
5.0,2.0,Mark Cuban,77003.85710179376,7.5659940325677235
5.0,2.0,Mel B,96120.33878196383,9.658469591501644
5.0,2.0,Sabrina Bryan,107595.14956950072,10.926143954079235
5.0,2.0,Wayne Newton,65246.62937639351,6.2948444554498675
21.0,1.0,Alek Skarlatos,87011.57122284865,8.798297910577464
21.0,1.0,Alexa PenaVega,86960.79343117356,8.792629525502646
21.0,1.0,Andy Grammer,83540.52041368598,8.412688823155404
21.0,1.0,Bindi Irwin,94283.42962137744,9.608947254479972
21.0,1.0,Carlos PenaVega,90794.05892479647,9.219521923320324
21.0,1.0,Chaka Khan,54266.98558326566,5.2071804128807155
21.0,1.0,Gary Busey,61552.02053400281,5.99558010311404
21.0,1.0,Hayes Grier,83390.86169390252,8.396090671450116
21.0,1.0,Kim Zolciak-Biermann,50401.0451437543,4.79210877814113
21.0,1.0,Nick Carter,94153.92795288144,9.594490655232963
21.0,1.0,Paula Deen,61528.49045579541,5.993010387237677
21.0,1.0,Tamar Braxton,90567.34320073795,9.194215224297285
21.0,1.0,Victor Espinoza,61548.951821777824,5.995238330610264
21.0,2.0,Alek Skarlatos,82516.10149611131,8.307113756283773
21.0,2.0,Alexa PenaVega,84176.1314447633,8.491457506016154
21.0,2.0,Andy Grammer,81061.14616079119,8.145752506836073
21.0,2.0,Bindi Irwin,87505.98662623114,8.861879267318248
21.0,2.0,Carlos PenaVega,82621.87789343568,8.318886316758658
21.0,2.0,Chaka Khan,57496.39338701531,5.561262097407458
21.0,2.0,Gary Busey,62322.4264930235,6.085319380375397
21.0,2.0,Hayes Grier,82799.52323003662,8.338583903805246
21.0,2.0,Kim Zolciak-Biermann,69178.40331166545,6.83492626351945
21.0,2.0,Nick Carter,82552.0006843918,8.311121786989785
21.0,2.0,Paula Deen,69421.25009194767,6.861579885369693
21.0,2.0,Tamar Braxton,89113.17858739806,9.040921918866367
21.0,2.0,Victor Espinoza,69235.58059318898,6.841195410453699
21.0,3.0,Alek Skarlatos,107514.81161007205,10.81728514155878
21.0,3.0,Alexa PenaVega,116497.19824311185,11.805731344513246
21.0,3.0,Andy Grammer,95541.5594244875,9.506452332426466
21.0,3.0,Bindi Irwin,104545.0845136585,10.491394810372247
21.0,3.0,Carlos PenaVega,101433.31969651469,10.150461146826276
21.0,3.0,Gary Busey,83599.89787558043,8.208202493700325
21.0,3.0,Hayes Grier,98541.49247717968,9.83409458208074
21.0,3.0,Nick Carter,116381.5298561554,11.792965158158786
21.0,3.0,Paula Deen,68297.76552139554,6.561568634043398
21.0,3.0,Tamar Braxton,107647.34078184438,10.831844356319735
21.0,4.0,Alek Skarlatos,101594.07610181828,10.167075607543739
21.0,4.0,Alexa PenaVega,89878.41505844991,8.888665216464458
21.0,4.0,Andy Grammer,97644.23615241704,9.735108199382934
21.0,4.0,Bindi Irwin,117248.54881561903,11.887453720849747
21.0,4.0,Carlos PenaVega,105299.01587504109,10.573075504523109
21.0,4.0,Gary Busey,70433.7960427322,6.789416394506874
21.0,4.0,Hayes Grier,113245.9684826499,11.446413725325144
21.0,4.0,Nick Carter,113247.9903939488,11.446643370923757
21.0,4.0,Paula Deen,78215.57613969632,7.625628676573006
21.0,4.0,Tamar Braxton,113192.37693762743,11.440519583907236
21.0,5.0,Alek Skarlatos,97611.16843224765,9.639346947649464
21.0,5.0,Alexa PenaVega,130912.57684400078,13.272955351607203
21.0,5.0,Andy Grammer,118875.57864854803,11.95358918515007
21.0,5.0,Bindi Irwin,122098.42265468025,12.306243114748526
21.0,5.0,Carlos PenaVega,127867.78266304993,12.938668541959986
21.0,5.0,Hayes Grier,100658.5295365572,9.969514734812165
21.0,5.0,Nick Carter,115881.89648310201,11.626414336534419
21.0,5.0,Paula Deen,88486.95738266631,8.654360135165554
21.0,5.0,Tamar Braxton,97607.08735514779,9.638907652372612
21.0,6.0,Alek Skarlatos,97259.66627328045,9.599623493394645
21.0,6.0,Alexa PenaVega,97039.67279105443,9.575818421425856
21.0,6.0,Andy Grammer,126361.7380275933,12.771252757142554
21.0,6.0,Bindi Irwin,126418.51284728399,12.777477694655671
21.0,6.0,Carlos PenaVega,120795.29603951552,12.161500648044195
21.0,6.0,Hayes Grier,102963.93420047492,10.217851830430957
21.0,6.0,Nick Carter,123492.93571905805,12.45683848939765
21.0,6.0,Paula Deen,79177.09062470397,7.654189501672056
21.0,6.0,Tamar Braxton,126491.15347703538,12.785447163836412
21.0,7.0,Alek Skarlatos,120328.2984567717,11.99302228482359
21.0,7.0,Alexa PenaVega,124539.22310659003,12.449774343319188
21.0,7.0,Andy Grammer,126507.78569386741,12.663568356907945
21.0,7.0,Bindi Irwin,130839.19251974949,13.13448425739301
21.0,7.0,Carlos PenaVega,126600.86432999757,12.673666229743098
21.0,7.0,Hayes Grier,126506.0839857883,12.663366412028862
21.0,7.0,Nick Carter,122302.32804494583,12.207049872457292
21.0,7.0,Tamar Braxton,122376.22386228968,12.215068243327016
21.0,8.0,Alek Skarlatos,129981.49667774289,12.894683773441052
21.0,8.0,Alexa PenaVega,139414.65496654416,13.911263212305553
21.0,8.0,Andy Grammer,125060.39714343217,12.365657410032863
21.0,8.0,Bindi Irwin,144220.62830843363,14.43038833273237
21.0,8.0,Carlos PenaVega,148949.2952698402,14.941881451370827
21.0,8.0,Nick Carter,168060.42414616785,17.01573930872074
21.0,8.0,Tamar Braxton,144313.10348783917,14.440386511396602
21.0,9.0,Alek Skarlatos,155784.3118362528,15.496685000074416
21.0,9.0,Alexa PenaVega,181389.11956457485,18.25011105251947
21.0,9.0,Bindi Irwin,181265.6466319119,18.236789459426795
21.0,9.0,Carlos PenaVega,164194.41689872855,16.399240101561144
21.0,9.0,Nick Carter,167274.2236889171,16.73022965271632
21.0,9.0,Tamar Braxton,150092.2813796148,14.886944733701862
21.0,10.0,Alek Skarlatos,241128.87944027805,24.057360827736876
21.0,10.0,Bindi Irwin,264868.7428906131,26.57799917465675
21.0,10.0,Carlos PenaVega,264948.63879315107,26.58649328930704
21.0,10.0,Nick Carter,229053.7388759578,22.778146708299335
21.0,11.0,Alek Skarlatos,243709.68990309315,24.332911492721557
21.0,11.0,Bindi Irwin,252470.4417020601,25.26205608380765
21.0,11.0,Carlos PenaVega,251986.21607962274,25.210610073327643
21.0,11.0,Nick Carter,251833.652315224,25.194422350143157
16.0,1.0,Alexandra Raisman,90981.69594824908,9.172583847246653
16.0,1.0,Andy Dick,75027.12647639611,7.415865941541498
16.0,1.0,D. L. Hughley,55146.57911534353,5.262213698487601
16.0,1.0,Dorothy Hamill,90908.88761520165,9.164522303714179
16.0,1.0,Ingo Rademacher,87000.35120261332,8.732344871223187
16.0,1.0,Jacoby Jones,87048.40750881123,8.737634541068793
16.0,1.0,Kellie Pickler,91005.73814268857,9.17523885726757
16.0,1.0,Lisa Vanderpump,79053.42521173862,7.857238269111355
16.0,1.0,Sean Lowe,82966.61117471721,8.287519554353675
16.0,1.0,Victor Ortiz,79074.32023421192,7.859513787452111
16.0,1.0,Wynonna Judd,79073.56398824343,7.859406779336946
16.0,1.0,Zendaya,102713.29338178528,10.475917549196431
16.0,2.0,Alexandra Raisman,97049.2668267285,9.844040395093716
16.0,2.0,Andy Dick,82039.87380653857,8.184199268280128
16.0,2.0,D. L. Hughley,67223.32077768067,6.563961979076624
16.0,2.0,Dorothy Hamill,63496.06600126054,6.159953025813369
16.0,2.0,Ingo Rademacher,82097.40413052149,8.190497019267838
16.0,2.0,Jacoby Jones,93254.96206309026,9.422965661651459
16.0,2.0,Kellie Pickler,104427.79964607501,10.665424169347542
16.0,2.0,Lisa Vanderpump,74668.71326682658,7.375498908502763
16.0,2.0,Sean Lowe,82119.91934626589,8.193003341651854
16.0,2.0,Victor Ortiz,74652.94529087014,7.3737925627992835
16.0,2.0,Wynonna Judd,74739.99222056194,7.3833173775070495
16.0,2.0,Zendaya,104229.73662358042,10.643346291008372
16.0,3.0,Alexandra Raisman,97296.96009530546,9.786390046937152
16.0,3.0,Andy Dick,77909.82701643447,7.663185538651218
16.0,3.0,D. L. Hughley,70109.77634099072,6.81771766298428
16.0,3.0,Ingo Rademacher,89489.676967718,8.928088393709222
16.0,3.0,Jacoby Jones,108842.81415038717,11.062546017092071
16.0,3.0,Kellie Pickler,105021.15000904593,10.63932021144557
16.0,3.0,Lisa Vanderpump,89529.77346223744,8.932470174407678
16.0,3.0,Sean Lowe,89643.18906463037,8.944923295161749
16.0,3.0,Victor Ortiz,97189.34054833894,9.774546296846422
16.0,3.0,Wynonna Judd,66100.76845891358,6.385611343077746
16.0,3.0,Zendaya,108866.72388599793,11.065201019686894
16.0,4.0,Alexandra Raisman,118761.8785876769,12.057364369118917
16.0,4.0,Andy Dick,94279.87580845645,9.370253739227099
16.0,4.0,D. L. Hughley,94303.68504714569,9.372831029100544
16.0,4.0,Ingo Rademacher,102549.0074781941,10.274182535266695
16.0,4.0,Jacoby Jones,106503.35067501671,10.707856662901618
16.0,4.0,Kellie Pickler,114724.68631094471,11.612124022091974
16.0,4.0,Lisa Vanderpump,82085.07099589313,8.045494685258452
16.0,4.0,Sean Lowe,90148.47777169924,8.920255132665392
16.0,4.0,Victor Ortiz,81937.16644279179,8.029486890916342
16.0,4.0,Zendaya,114706.80088218128,11.610150933452971
16.0,5.0,Alexandra Raisman,118968.48474786946,11.962140501424887
16.0,5.0,Andy Dick,88078.59532276329,8.60923293646073
16.0,5.0,D. L. Hughley,87951.46634485069,8.595559157350802
16.0,5.0,Ingo Rademacher,101546.09630637315,10.06440938465521
16.0,5.0,Jacoby Jones,123222.41933928317,12.427693862678236
16.0,5.0,Kellie Pickler,127692.55408313632,12.917711119628224
16.0,5.0,Sean Lowe,114583.72346148783,11.483122369539192
16.0,5.0,Victor Ortiz,101493.47885983347,10.058702925956343
16.0,5.0,Zendaya,136463.18153440263,13.88142774230638
16.0,6.0,Alexandra Raisman,136874.3792686162,13.78937109530539
16.0,6.0,Andy Dick,115016.62746473924,11.415913788030227
16.0,6.0,Ingo Rademacher,122325.31270316019,12.207350701872809
16.0,6.0,Jacoby Jones,119817.47554547613,11.935524708321791
16.0,6.0,Kellie Pickler,141699.38112309307,14.315726011870684
16.0,6.0,Sean Lowe,122271.62164330269,12.201534862857658
16.0,6.0,Victor Ortiz,107596.16852081541,10.614942316258416
16.0,6.0,Zendaya,134399.0337307971,13.51963651548303
16.0,7.0,Alexandra Raisman,171650.0114253062,17.397782969109894
16.0,7.0,Andy Dick,95837.65860397567,9.242427831543937
16.0,7.0,Ingo Rademacher,136512.19201275517,13.59139911937161
16.0,7.0,Jacoby Jones,146477.05489080504,14.667124491018823
16.0,7.0,Kellie Pickler,156643.46261539048,15.767816338998957
16.0,7.0,Sean Lowe,131252.6354350883,13.024995347236358
16.0,7.0,Zendaya,161626.98501667913,16.308453902720423
16.0,8.0,Alexandra Raisman,179131.29418174774,18.0048224832822
16.0,8.0,Ingo Rademacher,155254.11880558138,15.438246426829194
16.0,8.0,Jacoby Jones,167276.5849838398,16.728755395128573
16.0,8.0,Kellie Pickler,176054.2833508562,17.67328860777287
16.0,8.0,Sean Lowe,137278.93428080875,13.516635509447205
16.0,8.0,Zendaya,185004.78439716614,18.63825157753995
16.0,9.0,Alexandra Raisman,208718.56356543934,20.931399061107484
16.0,9.0,Ingo Rademacher,181961.68102117616,18.0745185730974
16.0,9.0,Jacoby Jones,208601.96254012256,20.918917453635906
16.0,9.0,Kellie Pickler,205404.46853297632,20.57681015183717
16.0,9.0,Zendaya,195313.32434028556,19.498354760322037
16.0,10.0,Alexandra Raisman,247860.96990425067,24.772689405805824
16.0,10.0,Jacoby Jones,240018.70121382084,23.940893538764666
16.0,10.0,Kellie Pickler,256019.58863729157,25.63889822704724
16.0,10.0,Zendaya,256100.7402446369,25.64751882838227
27.0,1.0,Alexis Ren,85438.62736859232,8.632798991396974
27.0,1.0,Bobby Bones,78357.37590470808,7.847248619314592
27.0,1.0,Danelle Umstead,71237.13931597119,7.061908638048142
27.0,1.0,DeMarcus Ware,88931.11742233139,9.021665691493283
27.0,1.0,Evanna Lynch,71205.18762318,7.058368862298148
27.0,1.0,Joe Amabile,56783.54609857468,5.484782907184639
27.0,1.0,John Schneider,71178.13561825926,7.055382090027527
27.0,1.0,Juan Pablo Di Pace,85286.98974030277,8.615916971902388
27.0,1.0,Mary Lou Retton,78328.28710123072,7.844038823205442
27.0,1.0,Milo Manheim,78311.12487842611,7.8421468471031
27.0,1.0,Nancy McKeon,76557.62515778458,7.648302170881238
27.0,1.0,Nikki Glaser,69561.80435053458,6.877823902523225
27.0,1.0,Tinashe,88823.03942010432,9.0096154846213
27.0,2.0,Alexis Ren,89850.25668109242,9.049086311532392
27.0,2.0,Bobby Bones,73124.507662317,7.209248332804243
27.0,2.0,Danelle Umstead,69888.94708239772,6.85624412378712
27.0,2.0,DeMarcus Ware,86553.35887182639,8.68462765695851
27.0,2.0,Evanna Lynch,88209.40362763291,8.867628157395563
27.0,2.0,Joe Amabile,66252.7941837915,6.460880484109447
27.0,2.0,John Schneider,80055.22311358133,7.9688104202182855
27.0,2.0,Juan Pablo Di Pace,94920.64039511663,9.6110659252336
27.0,2.0,Mary Lou Retton,84852.23269837652,8.49692663639549
27.0,2.0,Milo Manheim,95109.61034280041,9.632027693030608
27.0,2.0,Nancy McKeon,76405.44901402331,7.568286215770318
27.0,2.0,Tinashe,94777.57632704386,9.59516804276442
27.0,3.0,Alexis Ren,95523.41530397478,9.593962764010358
27.0,3.0,Bobby Bones,85442.00818350709,8.487331419040494
