season,week,n_players,avg_std_fan_rank,avg_ci_width,solution_space_compactness
1.0,1.0,6,0.2784747558551593,1.0725140146625847,2.6421841471051657
1.0,2.0,6,0.25679132432999496,0.9683385545659927,2.802758732650976
1.0,3.0,5,0.24843540748062506,0.932208347426198,2.86997239238841
1.0,4.0,4,0.2361230958422476,0.8730304937960155,2.975100528258044
1.0,5.0,3,0.2156068615939296,0.7828494628874729,3.168498919667449
1.0,6.0,2,0.174772622025375,0.5913112305751649,3.639372775311111
2.0,1.0,10,0.2753140583233491,1.0584809702136888,2.66443523183578
2.0,2.0,9,0.27211879583037196,1.0446915897736062,2.687313866445606
2.0,3.0,8,0.2802900500004321,1.0726444050343913,2.629571822872735
2.0,4.0,7,0.2634951281017838,1.0028466832816538,2.751068508736617
2.0,5.0,6,0.2581048287902538,0.9816603623268626,2.7924784018640296
2.0,6.0,5,0.289649757962655,1.1043994025572887,2.566407342913947
2.0,7.0,4,0.2616760649627714,0.9839145199159971,2.764905109501602
2.0,8.0,3,0.21564316855524943,0.7740573384259427,3.1681344620165994
28.0,1.0,12,0.2789299260402822,1.0753682627778791,2.639010358589875
28.0,2.0,12,0.27927188005076936,1.0779809876451993,2.636631009570601
28.0,3.0,10,0.2842147942763602,1.0968801084137885,2.6027108140992468
28.0,4.0,10,0.28880374279764387,1.122558219444076,2.5719917015316858
28.0,5.0,9,0.272810704539445,1.045247902900734,2.6823264134417997
28.0,6.0,9,0.28597114925356876,1.1132542392608225,2.5908672239723205
28.0,7.0,8,0.28399749102927463,1.104106820389894,2.6041836818245345
28.0,8.0,7,0.2630090594766568,1.0004848203964443,2.7547521856387847
28.0,9.0,6,0.2578063221284926,0.9714374302671986,2.7948080795534067
28.0,10.0,5,0.24950474900430436,0.9366427794803937,2.86119145118593
28.0,11.0,4,0.2369799041762374,0.8771279898090593,2.967536009141391
29.0,1.0,15,0.28959724529340813,1.121862043557797,2.566753261427436
29.0,2.0,15,0.2894574669048901,1.1229520344267279,2.5676744830372225
29.0,3.0,14,0.28881794978154895,1.121196292436308,2.5718977237594967
29.0,4.0,13,0.29030794892547745,1.12962210526856,2.562079513760896
29.0,5.0,12,0.28729192949874466,1.1117579743640327,2.5820315989911204
29.0,6.0,11,0.2875941580471908,1.11863141939126,2.580018246503723
29.0,7.0,10,0.27582245645751013,1.0581839815433152,2.6608308865467127
29.0,8.0,8,0.28104917771395427,1.0814411091549814,2.6243331792482683
29.0,9.0,7,0.2785496719511527,1.0659812553373553,2.641661251073645
29.0,10.0,6,0.2751362736490724,1.0506520321769577,2.6656979616305163
29.0,11.0,4,0.26838765496416284,1.0286620575190537,2.7145317887953686
30.0,1.0,15,0.28289907005840387,1.0929666968799363,2.611654292729072
30.0,2.0,15,0.28248182734017324,1.0974893093384592,2.6145033005989484
30.0,3.0,14,0.2908244782301167,1.1318258221800055,2.5586933667220353
30.0,4.0,13,0.28145384031455756,1.08850346533605,2.6215491740111254
30.0,5.0,11,0.27742925468125457,1.0679601257546183,2.649503152172232
30.0,6.0,10,0.2859208077286529,1.0977004727523525,2.591205190219015
30.0,7.0,9,0.27200242146459297,1.0412976703082006,2.688154544970293
30.0,8.0,8,0.2835965359556772,1.0969188640384873,2.606905710210963
30.0,9.0,6,0.2572082632689341,0.9757832888504464,2.7994873098641686
30.0,10.0,4,0.26367377447029794,0.9865579195079903,2.7497171096720705
31.0,1.0,16,0.2848889546008564,1.1015220475570329,2.598151981360535
31.0,2.0,15,0.2915214655730184,1.1375705476559095,2.5541383753670615
31.0,3.0,14,0.2915441835530596,1.1330089845405054,2.5539901804325646
31.0,4.0,13,0.29105910194570134,1.1301615723688605,2.5571582275531592
31.0,5.0,12,0.27904623920931976,1.0742005998504636,2.638200558554473
31.0,6.0,10,0.27538876313243393,1.062843946790886,2.6639049918689452
31.0,7.0,9,0.2837150355194388,1.090540265254362,2.6061006409256033
31.0,8.0,8,0.28121795135682526,1.0824079466179568,2.6231713287394127
31.0,9.0,6,0.2750906848382908,1.0482338961199178,2.66602195261426
31.0,10.0,4,0.28850083455734327,1.0945388104332412,2.5739970446637446
32.0,1.0,14,0.29085872940583923,1.1347137324314045,2.5584691469476506
32.0,2.0,13,0.28815096055837447,1.1102401646347801,2.576317210606539
32.0,3.0,12,0.2883280522172474,1.1112375600504685,2.5751423166322196
32.0,4.0,11,0.28624521870125696,1.1013663193694008,2.5890288127384027
32.0,5.0,10,0.28430897128852284,1.0977670472523022,2.6020730056005967
32.0,6.0,9,0.27201867691725246,1.0463899589101096,2.688037085359638
32.0,7.0,8,0.2815802815011068,1.0808207661644045,2.620680492362128
32.0,8.0,7,0.2644111659465361,1.0062661512094146,2.7441530157358383
32.0,9.0,6,0.2584590892235184,0.97807036755152,2.7897186319536913
