season,week,n_players,avg_std_fan_rank,avg_ci_width,solution_space_compactness
32.0,10.0,5,0.24942631224800693,0.9352816139322153,2.861833711281151
32.0,11.0,5,0.2693847870962964,1.014631222331126,2.707204072644459
33.0,1.0,13,0.28016039383818386,1.081853884995144,2.6304686553582752
33.0,2.0,13,0.2890565613872345,1.1212139830080603,2.570320357621943
33.0,3.0,11,0.2779251920750992,1.0709745999753635,2.6460263061830647
33.0,4.0,9,0.2825332122911802,1.0858543525754603,2.614152099396825
33.0,5.0,8,0.2837315671125622,1.0975989148114809,2.6059883671406796
33.0,6.0,7,0.27920692492631155,1.0686297520849284,2.637082643452048
33.0,7.0,6,0.2573339722405335,0.9793490302044416,2.7985024590017606
33.0,8.0,5,0.2710409376229726,1.0287081378172545,2.6951203993995243
33.0,9.0,5,0.25153345620355233,0.9448151548921278,2.844679453272177
34.0,1.0,14,0.2956736768255174,1.1495879085764173,2.5273351718087027
34.0,2.0,14,0.2905497753715256,1.1331871324684994,2.5604930870814386
34.0,3.0,12,0.2959873865306591,1.1451124624706293,2.5253329626512624
34.0,4.0,11,0.27686378991412836,1.0647228188927955,2.653478595616359
34.0,5.0,10,0.27467140018823066,1.0541036642810315,2.6690054258147575
34.0,6.0,10,0.2843544407677455,1.0902909038828,2.6017651780021236
34.0,7.0,9,0.2728271293008999,1.046284081497535,2.6822082445425366
34.0,8.0,8,0.26883061219433685,1.0276366643657433,2.7112716974617603
34.0,9.0,7,0.2836492432409264,1.0970751387122555,2.606547562957172
34.0,10.0,6,0.25783827639020845,0.9780747455671274,2.7945585086306965
34.0,11.0,5,0.24894140039385695,0.9359329402394992,2.8658107030902054
